;SEG;TER;QUA;QUI;SEX;
07h00;;;;;;
08h00;;;;;;
09h00;;;;;;
10h00;;;;;;
11h00;;;;;;
13h30;COM10015 Engenharia_de_Software;COM10015 Engenharia_de_Software;;COM10508 Projeto_de_Sistemas_de_Software;COM10508 Projeto_de_Sistemas_de_Software;
14h30;COM10015 Engenharia_de_Software;COM10015 Engenharia_de_Software;;COM10508 Projeto_de_Sistemas_de_Software;COM10508 Projeto_de_Sistemas_de_Software;
15h30;;;;;;
16h30;;;;;;
18h20;COM11211 Gestao_Qualidade_de_Software;COM10733 Gerencia_de_Projeto_de_Software;COM10733 Gerencia_de_Projeto_de_Software;;COM11211 Gestao_Qualidade_de_Software;
19h10;COM11211 Gestao_Qualidade_de_Software;COM10733 Gerencia_de_Projeto_de_Software;COM10733 Gerencia_de_Projeto_de_Software;;COM11211 Gestao_Qualidade_de_Software;
20h00;COM10275 Engenharia_de_Requisitos_de_Software;;;;COM10275 Engenharia_de_Requisitos_de_Software;
21h00;COM10275 Engenharia_de_Requisitos_de_Software;;;;COM10275 Engenharia_de_Requisitos_de_Software;
21h50;;;;;;
