;SEG;TER;QUA;QUI;SEX;
07h00;;;;;;
08h00;;;8 Algoritmos_Numericos CC 4 Prof_Algoritmos_Numericos S-55 O-30 ;;13 Linguagens_Formais_Automatos CC 4 JULIANA_PINHEIRO_CAMPOS S-55 O-30 ;
09h00;;;8 Algoritmos_Numericos CC 4 Prof_Algoritmos_Numericos S-55 O-30 ;;13 Linguagens_Formais_Automatos CC 4 JULIANA_PINHEIRO_CAMPOS S-55 O-30 ;
10h00;;;;14 Linguagens_Formais_Automatos CC 4 JULIANA_PINHEIRO_CAMPOS S-55 O-30 ;18 Sistemas_Operacionais CC 4 FABRICIO S-55 O-20 ;
11h00;;;;14 Linguagens_Formais_Automatos CC 4 JULIANA_PINHEIRO_CAMPOS S-55 O-30 ;18 Sistemas_Operacionais CC 4 FABRICIO S-55 O-20 ;
13h30;7 Algoritmos_Numericos CC 4 Prof_Algoritmos_Numericos S-55 O-30 ;;;;;
14h30;7 Algoritmos_Numericos CC 4 Prof_Algoritmos_Numericos S-55 O-30 ;;;;;
15h30;;25 Direito_Legislacao CC 6 LARICE_NOGUEIRA_DE_ANDRADE S-55 O-30 ;;;;
16h30;;25 Direito_Legislacao CC 6 LARICE_NOGUEIRA_DE_ANDRADE S-55 O-30 ;;;;
18h20;57 Metodologia_de_Pesquisa_em_Informatica SI 6 LARICE_NOGUEIRA_DE_ANDRADE S-55 O-40 ;;;89 Empreendedorismo SI 8 Wendel S-55 O-40 ;45 Arquitetura_de_Computadores SI 4 VALERIA_ALVES_DA_SILVA S-55 O-50 ;
19h10;57 Metodologia_de_Pesquisa_em_Informatica SI 6 LARICE_NOGUEIRA_DE_ANDRADE S-55 O-40 ;;;89 Empreendedorismo SI 8 Wendel S-55 O-40 ;45 Arquitetura_de_Computadores SI 4 VALERIA_ALVES_DA_SILVA S-55 O-50 ;
20h00;;;41 Matematica_Discreta SI 2 EDMAR_HELL_KAMPKE S-55 O-40 ;;;
21h00;;;41 Matematica_Discreta SI 2 EDMAR_HELL_KAMPKE S-55 O-40 ;;;
21h50;;;;;;
