;SEG;TER;QUA;QUI;SEX;
07h00;;;;;;
08h00;;;;;;
09h00;;;;;;
10h00;;;COM11013 Topicos_Especiais_Programacao;;;
11h00;;;COM11013 Topicos_Especiais_Programacao;;;
13h30;;;;;;
14h30;;;;;;
15h30;;;COM11608 Topicos_Especiais_Inteligencia_Artificial;COM11013 Topicos_Especiais_Programacao;COM11608 Topicos_Especiais_Inteligencia_Artificial;
16h30;;;COM11608 Topicos_Especiais_Inteligencia_Artificial;COM11013 Topicos_Especiais_Programacao;COM11608 Topicos_Especiais_Inteligencia_Artificial;
18h20;;;;;;
19h10;;;;;;
20h00;;;;COM10396 Desenvolvimento_de_Sistemas_para_WEB;COM10396 Desenvolvimento_de_Sistemas_para_WEB;
21h00;;;;COM10396 Desenvolvimento_de_Sistemas_para_WEB;COM10396 Desenvolvimento_de_Sistemas_para_WEB;
21h50;;;;;;
