;SEG;TER;QUA;QUI;SEX;
07h00;;;;;;
08h00;;;;;;
09h00;;;;;;
10h00;;;;;;
11h00;;;;;;
13h30;;;;;;
14h30;;;;;;
15h30;;;;;;
16h30;;;;;;
18h20;MPA06839 Calculo_A MA-0 Prof_Calculo_A Vg-40 ;COM06851 Matematica_Discreta PN-1 EDMAR_HELL_KAMPKE Vg-40 ;MPA06839 Calculo_A MA-0 Prof_Calculo_A Vg-40 ;COM06851 Matematica_Discreta MA-0 EDMAR_HELL_KAMPKE Vg-40 ;MPA06839 Calculo_A MA-0 Prof_Calculo_A Vg-40 ;
19h10;MPA06839 Calculo_A MA-0 Prof_Calculo_A Vg-40 ;COM06851 Matematica_Discreta PN-1 EDMAR_HELL_KAMPKE Vg-40 ;MPA06839 Calculo_A MA-0 Prof_Calculo_A Vg-40 ;COM06851 Matematica_Discreta MA-0 EDMAR_HELL_KAMPKE Vg-40 ;MPA06839 Calculo_A MA-0 Prof_Calculo_A Vg-40 ;
20h00;ENG06849 Ingles_Instrumental MA-0 Prof_Ingles_Instrumental Vg-40 ;COM06984 Fundamentos_de_Programacao_Web CC-2 BRUNO_VILELA_OLIVEIRA Vg-40 ;COM06985 Teoria_Geral_Sistemas PN-12 SIMONE_DORNELAS_COSTA Vg-40 ;COM06984 Fundamentos_de_Programacao_Web CC-3 BRUNO_VILELA_OLIVEIRA Vg-40 ;COM06985 Teoria_Geral_Sistemas MA-0 SIMONE_DORNELAS_COSTA Vg-40 ;
21h00;ENG06849 Ingles_Instrumental MA-0 Prof_Ingles_Instrumental Vg-40 ;COM06984 Fundamentos_de_Programacao_Web CC-2 BRUNO_VILELA_OLIVEIRA Vg-40 ;COM06985 Teoria_Geral_Sistemas PN-12 SIMONE_DORNELAS_COSTA Vg-40 ;COM06984 Fundamentos_de_Programacao_Web CC-3 BRUNO_VILELA_OLIVEIRA Vg-40 ;COM06985 Teoria_Geral_Sistemas MA-0 SIMONE_DORNELAS_COSTA Vg-40 ;
21h50;;;;;;
